citizen,agedef,age,unit,sex,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
TOTAL,REACH,TOTAL,NR,T,PL	46936 	35480 	30140 	229320 b	218126 	265798 	275603 	276446 	268299 p	258837 p	236441 ep	218492 ep
TOTAL,REACH,TOTAL,NR,T,PT	5600 	7890 	20357 	16899 	23760 	43998 	51958 	53786 	49572 	40377 	38273 e	31753 e
TOTAL,REACH,TOTAL,NR,T,RO	: 	: 	302796 b	246626 	197985 	195551 	170186 	161755 	172871 	194718 	207578 	242193 e
TOTAL,REACH,TOTAL,NR,T,RU	54061 	47014 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,REACH,TOTAL,NR,T,SE	44908 	45418 	45294 	39240 	48853 	51179 	51747 	50715 	51237 	55830 	45878 	45620 
TOTAL,REACH,TOTAL,NR,T,SI	13749 	14943 	12109 b	18788 	15937 	12024 	14378 	13384 	14336 	14913 	15572 	17555 
TOTAL,REACH,TOTAL,NR,T,SK	1735 	1831 	1705 	1979 	1889 	1863 	2003 	2770 	3644 	3870 	3801 	3466 
TOTAL,REACH,TOTAL,NR,T,SM	: 	76 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,REACH,TOTAL,NR,T,TJ	8334 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,REACH,TOTAL,NR,T,UK	369470 	317587 	427207 b	368177 	339306 	350703 	321217 	316934 	319086 	299183 	340440 	359665 
TOTAL,REACH,TOTAL,NR,T,UZ	71608 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
